participant_id,cleaned_ids,f0_mean,f0_min,f0_max,f0_range,f0_sd,intensity_mean,intensity_min,intensity_max,intensity_range,intensity_sd,f1_mean,f1_sd,f2_mean,f2_sd,f3_mean,f3_sd,f2_f1_mean,f3_f1_mean,f2_f1_sd,f3_f1_sd,jitter,shimmer,percent_unvoiced,percent_breaks,pause_duration_max,pause_duration_avg,duration,average_outer_brow_height_mean,average_inner_brow_height_mean,eye_open_mean,outer_lip_height_mean,inner_lip_height_mean,lip_corner_distance_mean,smile_mean,pitch_mean,yaw_mean,roll_mean,average_outer_brow_height_std,average_inner_brow_height_std,eye_open_std,outer_lip_height_std,inner_lip_height_std,lip_corner_distance_std,smile_std,pitch_std,yaw_std,roll_std,average_outer_brow_height_min,average_inner_brow_height_min,eye_open_min,outer_lip_height_min,inner_lip_height_min,lip_corner_distance_min,smile_min,pitch_min,yaw_min,roll_min,average_outer_brow_height_max,average_inner_brow_height_max,eye_open_max,outer_lip_height_max,inner_lip_height_max,lip_corner_distance_max,smile_max,pitch_max,yaw_max,roll_max,average_outer_brow_height_median,average_inner_brow_height_median,eye_open_median,outer_lip_height_median,inner_lip_height_median,lip_corner_distance_median,smile_median,pitch_median,yaw_median,roll_median,Total Words,Unique Words,Filler Words,Audio Duration (s),Duration/Total Words,Duration/Unique Words,Duration/Filler Words,Individual,We,They,Non-Fluences,PosEmotion,NegEmotion,Anxiety,Anger,Sadness,Cognitive,Inhibition,Preceptual,Relativity,Work,Swear,Articles,Verbs,Adverbs,Prepositions,Conjunctions,Negations,Quantifiers,Numbers
P1,P1,138.8311168,75.34559606,599.1469508,523.8013548,67.08530113,-17.98948,-36.43029,0.0,36.43029,7.5979776,626.2173706,255.6180047,1801.00168,369.1933598,2718.601821,363.6766279,3.209346918,4.813353524,1.198493899,1.51167944,0.022500397,0.178536612,14.22418608,1.607575424,2.43,0.313972603,161.134,0.015893043,0.016637841,0.011027429,0.01916466,0.00260867,0.045725545,22.37,-3.749070467,5.345537328,9.014952282,0.001655752,0.00246029,0.002503294,0.00283626,0.001129503,0.00336654,11.66951584,3.075622929,5.62186311,3.220901427,0.013880779,0.013709637,0.007337698,0.014211876,0.000697706,0.042567357,0.0,-7.988300283,-2.117960424,4.421800363,0.018034172,0.019790519,0.013810389,0.023069122,0.003756729,0.051905194,32.5,0.065310259,15.19441907,12.88890355,0.016692208,0.017527453,0.011366901,0.019461548,0.002545222,0.044971379,24.6,-2.130816534,4.742396686,9.552378179,533,239,18,161.134,3.31,1.48,0.11,4,12,1,17,5,0,1,0,0,1,0,0,0,5,0,34,64,43,55,35,0,1,7
P3,P3,194.5316407,74.93033786,599.8826675,524.9523296,156.8447961,-22.33604,-39.19129,0.0,39.19129,8.249971,688.0886054,336.5396111,1855.015178,451.7083643,2950.458853,409.6405924,3.155811808,5.078482735,1.409762663,2.100620205,0.044231474,0.211530625,18.06900066,2.007267693,6.24,0.342413793,439.648,0.016478313,0.015185401,0.011205638,0.026417747,0.006231649,0.050762371,54.85333333,-5.186666887,-7.243629453,0.650827749,0.002059604,0.003207646,0.000893585,0.003551081,0.003199634,0.005909651,22.93031569,7.972489768,5.652773316,5.204457712,0.014600868,0.012398225,0.010427709,0.021173694,0.002393845,0.040623494,34.66666667,-17.88567507,-14.99245479,-3.928249327,0.019969906,0.020691231,0.012928622,0.030839757,0.010199295,0.057059006,99.0,5.119235256,2.571150236,10.80374583,0.015572649,0.013259163,0.010964061,0.02789031,0.005347684,0.051636861,49.5,-5.194735144,-7.37033324,-1.365112606,1246,361,83,439.648,2.83,0.82,0.19,14,26,3,83,3,0,0,0,0,11,0,2,5,1,0,53,184,151,112,83,1,10,11
P4,P4,145.4129421,74.94536906,597.3524683,522.4070992,67.82364207,-19.039644,-33.23315,4.77e-07,33.23315,6.9909754,665.9273,315.8620169,1801.738404,415.039169,2878.938511,387.988977,3.119434427,5.036498043,1.356365062,2.058317625,0.027072673,0.186876589,18.80553468,2.285714286,1.86,0.312794118,226.21,0.022997259,0.022961184,0.012196978,0.036828397,0.01023372,0.055391662,8.276666667,5.358080682,9.312125261,2.293206389,0.000864665,0.001047445,0.001273108,0.005224603,0.004782731,0.001717894,7.935753132,3.35075941,7.448412915,5.01180808,0.021856043,0.021590779,0.010778383,0.028683558,0.003692301,0.053638087,0.0,-0.212112335,-0.25952085,-4.056182473,0.024094436,0.024431553,0.013975011,0.041822407,0.016293545,0.058038437,19.75,9.521879077,22.14032365,10.64046489,0.022666147,0.02304414,0.01189684,0.040226679,0.011396114,0.054982662,3.5,6.406038729,9.44561614,1.937783989,698,251,54,226.21,3.09,1.11,0.24,8,5,2,54,1,0,0,0,0,2,0,0,0,8,0,51,88,58,84,42,0,1,3
P5,P5,143.1771519,75.35218521,599.3397908,523.9876056,94.37915278,-16.840088,-28.830551,0.0,28.830551,5.8764796,712.8736104,352.1189244,1894.397152,463.0951392,2929.480711,386.0899639,3.088329877,4.911027661,1.255273904,1.99626919,0.027095398,0.196596809,25.01249583,3.689144239,2.49,0.295327869,144.048,0.024768627,0.027089193,0.017803737,0.032712454,0.006012853,0.05894271,68.79333333,7.693899165,-2.9140069,-3.349848265,0.000995918,0.001794368,0.000322787,0.004007412,0.003524689,0.005692412,19.19611535,2.567254596,3.162348415,1.993950883,0.023669942,0.025099399,0.017399469,0.02620942,0.000832817,0.053098527,44.8,5.605668031,-6.199383326,-6.319439306,0.026488143,0.030154058,0.018167141,0.037061627,0.010618185,0.067238642,94.0,12.33149133,2.891202125,-0.431690232,0.024735944,0.026980672,0.01783163,0.035041853,0.00649521,0.057410049,67.66666667,6.244327205,-3.739076834,-3.827779558,416,205,8,144.048,2.89,1.42,0.06,4,10,5,8,0,0,0,0,0,1,0,0,1,4,0,27,57,25,40,48,0,1,1
P6,P6,110.7351565,74.99060419,599.0835592,524.092955,46.303907,-19.337439,-29.820957,0.0,29.820957,4.713671,693.3481823,312.2775583,1886.51397,420.4312368,2951.041446,356.9119731,3.107612342,4.914014612,1.239233434,1.815527994,0.01932658,0.190263072,37.27980233,7.68062761,1.62,0.245584843,399.868,0.024119703,0.025487867,0.010827118,0.030134725,0.003270016,0.049287419,0.156666667,7.968268452,-4.32950853,-14.14381552,0.002138199,0.003004978,0.001909786,0.003013824,0.001717684,0.002048556,0.134824989,5.690846687,3.584823228,6.218838228,0.020728295,0.020913729,0.008943748,0.027073702,0.00159697,0.046898706,0.0,1.84198142,-8.555605499,-21.14871271,0.026466601,0.028875407,0.013988509,0.035702168,0.006465523,0.053100484,0.333333333,16.01434768,0.485147758,-5.740157533,0.02426702,0.025900303,0.00963785,0.028714989,0.002662989,0.04890072,0.2,6.74926957,-3.396339534,-17.61379613,1096,354,36,399.868,2.74,0.89,0.09,20,4,4,36,0,0,2,0,0,6,0,0,3,10,0,59,148,43,99,93,1,2,34
P7,P7,127.0722548,75.15398985,586.3151659,511.161176,68.46138133,-16.353638,-32.046196,0.0,32.046196,6.518118,712.0707363,305.2452607,1854.008269,407.5905667,2858.315023,371.4512092,2.990644194,4.624580707,1.317682462,1.794689422,0.022691467,0.188468601,15.99333826,1.960784314,2.76,0.307933884,232.972,0.020339815,0.017709028,0.013480224,0.028875676,0.004292444,0.060976303,4.283333333,6.056189048,7.378869543,-8.795171611,0.001615854,0.003200418,0.001795731,0.004044779,0.003032398,0.00338388,2.57315198,3.937115514,6.905360737,4.993783182,0.0185222,0.014579957,0.009958722,0.023333533,0.00079597,0.058175149,0.0,1.941515994,-1.760799997,-16.71982308,0.023313446,0.023664184,0.014609116,0.035229901,0.007938493,0.067479249,8.0,12.1667546,15.47131415,-1.934001796,0.019794003,0.016177205,0.014564813,0.027914999,0.003579123,0.060285823,4.666666667,5.05568146,7.661394959,-8.008557353,770,297,23,232.972,3.31,1.27,0.1,14,13,4,23,0,0,0,0,0,9,0,4,3,4,0,48,107,57,93,52,0,0,4
P8,P8,134.037065,75.0219285,599.8511914,524.8292629,82.28623183,-18.946957,-36.741695,0.0,36.741695,8.6015625,654.8313695,358.3637201,1800.757696,488.2237296,2898.478789,395.5169059,3.336204122,5.467447437,1.7064343,2.582707955,0.027169262,0.188458152,21.00105374,2.294251034,1.71,0.347616279,284.7,0.02291557,0.02413987,0.014353717,0.028647442,0.004283206,0.049756823,0.04,13.75476801,2.495233946,-4.438524861,0.001450488,0.002388655,0.001736427,0.003729029,0.002409191,0.002497432,0.08,6.95485325,6.912875067,3.656077676,0.020369379,0.020443284,0.012229397,0.024772713,0.001125945,0.045022285,0.0,7.793515442,-8.196117824,-7.964263236,0.024307682,0.026834086,0.016320542,0.035219947,0.008063324,0.052089268,0.2,26.25604891,11.28657769,2.378700783,0.023527878,0.024517786,0.01539126,0.027298529,0.004652754,0.051010836,0.0,9.731730557,1.71978806,-5.955974837,728,280,57,284.7,2.56,0.98,0.2,11,10,0,56,1,1,0,0,0,0,0,1,0,9,0,23,89,54,89,53,0,4,6
P10,P10,112.6503156,75.22250525,578.7773938,503.5548885,28.67004114,-19.355667,-36.44988,-9.54e-07,36.44988,9.29163,645.3093886,328.6432406,1810.407085,417.4376056,2814.012214,379.9949964,3.367137331,5.294567704,1.540000063,2.22810091,0.016519751,0.163284654,23.47986494,2.417179238,3.84,0.395491071,377.302,0.015457723,0.015000175,0.011629671,0.017262675,0.001253224,0.045943543,0.0,-2.654674464,-0.80405242,-13.31571149,0.001310516,0.001696125,0.001626299,0.001190832,0.000453489,0.002122146,0.0,3.755732172,7.481810123,8.419164964,0.013119982,0.011854243,0.010009337,0.015336768,0.000713329,0.042543755,0.0,-8.440925666,-8.664230353,-24.2828159,0.016816534,0.01677561,0.014425032,0.019095897,0.00183021,0.048605235,0.0,3.357372783,11.05847458,-5.656719431,0.016044552,0.015311423,0.01159375,0.017327475,0.001435373,0.046885939,0.0,-3.046391724,-1.340589851,-7.226114713,1000,316,76,377.302,2.65,0.84,0.2,13,25,3,74,3,0,0,0,0,8,0,0,0,11,0,55,142,76,91,73,0,8,5
P11,P11,189.0080554,75.15887722,590.9961864,515.8373092,39.51618561,-16.389168,-32.684654,0.0,32.684654,6.634166,649.2284238,242.2569765,1826.313819,368.210384,2852.115184,346.5669011,3.145284296,4.878330105,1.248266001,1.616212176,0.017065786,0.162237791,11.19524883,1.560133293,1.14,0.259514563,238.762,0.023376066,0.023453371,0.012468317,0.022812652,0.000844244,0.058577193,31.47666667,0.961646528,3.490758834,2.351271479,0.001397769,0.002695964,0.002615661,0.00171991,0.000241712,0.003881487,16.9299196,2.327715335,6.238805309,1.593567483,0.021874264,0.021250762,0.009829853,0.020707604,0.000622074,0.052428238,17.8,-1.193061042,-8.357961794,0.522284442,0.025736498,0.028203845,0.016816114,0.025968234,0.001215874,0.063987253,64.0,5.439441714,9.04058448,5.146852988,0.022656864,0.021794194,0.011013115,0.02246007,0.000682325,0.057841914,22.25,0.348248754,6.510117892,1.799645451,708,258,28,238.762,2.97,1.08,0.12,17,18,0,28,1,0,0,0,0,1,0,0,2,4,0,38,92,58,90,46,0,4,3
P12,P12,184.181496,82.2175086,517.3801745,435.1626659,46.29236324,-22.891,-40.11509,0.0,40.11509,7.238599,644.1056128,305.2066728,1716.863299,406.7850818,2786.566525,416.3166927,3.107764685,5.015429513,1.456430468,2.028245928,0.015425945,0.148463932,10.61154199,1.421692272,1.08,0.276290323,161.428,0.020244551,0.019259532,0.013210957,0.023805868,0.003633916,0.061917016,57.91333333,-4.33887416,5.402876986,-3.551040996,0.001039728,0.001905365,0.001533457,0.0030999,0.002827094,0.002495208,8.955633857,3.534525967,4.518014765,2.826243131,0.01895515,0.016809703,0.010377517,0.021006476,0.000740131,0.057713224,47.0,-10.57046318,-1.173879961,-7.13108019,0.021492358,0.021501496,0.014613777,0.029281955,0.008444928,0.064362712,67.5,-1.087021422,12.92119963,-0.709765356,0.020785023,0.019896439,0.013961384,0.021829216,0.003845938,0.062799355,61.66666667,-2.125101503,5.456823672,-1.898513081,595,218,13,161.428,3.69,1.35,0.08,8,9,8,13,7,1,0,0,0,6,0,0,0,3,0,39,88,34,66,46,0,1,4
